FISCAL YEAR,AGENCY NAME AND NUMBER,COUNTY,EXPENDITURE CATEGORY,AMOUNT,NUMBER,AGENCY NAME
2023,102-HOUSE OF REPRESENTATIVES,ANDERSON,SALARIES AND WAGES,67440,102,HOUSE OF REPRESENTATIVES
2023,241-COMPTROLLER - JUDICIARY SECTION,ANDERSON,SALARIES AND WAGES,818554.45,241,COMPTROLLER - JUDICIARY SECTION
2023,302-OFFICE OF THE ATTORNEY GENERAL,ANDERSON,SALARIES AND WAGES,351460.43,302,OFFICE OF THE ATTORNEY GENERAL
2023,320-TEXAS WORKFORCE COMMISSION,ANDERSON,SALARIES AND WAGES,11913.04,320,TEXAS WORKFORCE COMMISSION
2023,323-TEACHER RETIREMENT SYSTEM OF TEXAS,ANDERSON,SALARIES AND WAGES,83804.87,323,TEACHER RETIREMENT SYSTEM OF TEXAS
2023,332-TX DEPT OF HOUSING & COMMUNITY AFFAIRS,ANDERSON,SALARIES AND WAGES,65883.81,332,TX DEPT OF HOUSING & COMMUNITY AFFAIRS
2023,401-TEXAS MILITARY DEPARTMENT,ANDERSON,SALARIES AND WAGES,346123.38,401,TEXAS MILITARY DEPARTMENT
2023,405-TEXAS DEPARTMENT OF PUBLIC SAFETY,ANDERSON,SALARIES AND WAGES,2162989.65,405,TEXAS DEPARTMENT OF PUBLIC SAFETY
2023,407-TX COMMISSION ON LAW ENFORCEMENT,ANDERSON,SALARIES AND WAGES,27236.15,407,TX COMMISSION ON LAW ENFORCEMENT
2023,454-TEXAS DEPARTMENT OF INSURANCE,ANDERSON,SALARIES AND WAGES,130936.94,454,TEXAS DEPARTMENT OF INSURANCE
2023,455-RAILROAD COMMISSION OF TEXAS,ANDERSON,SALARIES AND WAGES,121624.22,455,RAILROAD COMMISSION OF TEXAS
2023,506-UT MD ANDERSON CANCER CENTER,ANDERSON,SALARIES AND WAGES,11471.82,506,UT MD ANDERSON CANCER CENTER
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDERSON,SALARIES AND WAGES,3930066.3,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,ANDERSON,SALARIES AND WAGES,1731057.48,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,ANDERSON,SALARIES AND WAGES,356892.11,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,554-TEXAS ANIMAL HEALTH COMMISSION,ANDERSON,SALARIES AND WAGES,42895,554,TEXAS ANIMAL HEALTH COMMISSION
2023,555-TEXAS A&M AGRILIFE EXTENSION SERVICE,ANDERSON,SALARIES AND WAGES,103130.18,555,TEXAS A&M AGRILIFE EXTENSION SERVICE
2023,556-TEXAS A&M AGRILIFE RESEARCH,ANDERSON,SALARIES AND WAGES,1239.34,556,TEXAS A&M AGRILIFE RESEARCH
2023,575-TEXAS DIVISION OF EMERGENCY MANAGEMENT,ANDERSON,SALARIES AND WAGES,181169.1,575,TEXAS DIVISION OF EMERGENCY MANAGEMENT
2023,576-TEXAS A&M FOREST SERVICE,ANDERSON,SALARIES AND WAGES,7570.45,576,TEXAS A&M FOREST SERVICE
2023,582-TX COMMISSION ON ENVIRONMENTAL QUALITY,ANDERSON,SALARIES AND WAGES,78608.65,582,TX COMMISSION ON ENVIRONMENTAL QUALITY
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDERSON,SALARIES AND WAGES,1351529.78,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDERSON,SALARIES AND WAGES,71203153,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,711-TEXAS A&M UNIVERSITY,ANDERSON,SALARIES AND WAGES,40770,711,TEXAS A&M UNIVERSITY
2023,723-UT MEDICAL BRANCH AT GALVESTON,ANDERSON,SALARIES AND WAGES,63109.7,723,UT MEDICAL BRANCH AT GALVESTON
2023,731-TEXAS WOMAN'S UNIVERSITY,ANDERSON,SALARIES AND WAGES,8250,731,TEXAS WOMAN'S UNIVERSITY
2023,750-UNIVERSITY OF TEXAS AT TYLER,ANDERSON,SALARIES AND WAGES,545378.36,750,UNIVERSITY OF TEXAS AT TYLER
2023,753-SAM HOUSTON STATE UNIVERSITY,ANDERSON,SALARIES AND WAGES,1317.5,753,SAM HOUSTON STATE UNIVERSITY
2023,754-TEXAS STATE UNIVERSITY,ANDERSON,SALARIES AND WAGES,236.25,754,TEXAS STATE UNIVERSITY
2023,755-STEPHEN F AUSTIN STATE UNIVERSITY,ANDERSON,SALARIES AND WAGES,59360.48,755,STEPHEN F AUSTIN STATE UNIVERSITY
2023,773-UNIVERSITY OF NORTH TEXAS-DALLAS,ANDERSON,SALARIES AND WAGES,5124.99,773,UNIVERSITY OF NORTH TEXAS-DALLAS
2023,785-UT HEALTH CENTER AT TYLER,ANDERSON,SALARIES AND WAGES,20439.56,785,UT HEALTH CENTER AT TYLER
2023,802-PARKS & WILDLIFE DEPARTMENT,ANDERSON,SALARIES AND WAGES,816109.17,802,PARKS & WILDLIFE DEPARTMENT
2023,808-TEXAS HISTORICAL COMMISSION,ANDERSON,SALARIES AND WAGES,12570.18,808,TEXAS HISTORICAL COMMISSION
2023,102-HOUSE OF REPRESENTATIVES,ANDERSON,EMPLOYEE BENEFITS,21563.46,102,HOUSE OF REPRESENTATIVES
2023,241-COMPTROLLER - JUDICIARY SECTION,ANDERSON,EMPLOYEE BENEFITS,213339.33,241,COMPTROLLER - JUDICIARY SECTION
2023,302-OFFICE OF THE ATTORNEY GENERAL,ANDERSON,EMPLOYEE BENEFITS,102894.73,302,OFFICE OF THE ATTORNEY GENERAL
2023,320-TEXAS WORKFORCE COMMISSION,ANDERSON,EMPLOYEE BENEFITS,3713.18,320,TEXAS WORKFORCE COMMISSION
2023,323-TEACHER RETIREMENT SYSTEM OF TEXAS,ANDERSON,EMPLOYEE BENEFITS,14430.58,323,TEACHER RETIREMENT SYSTEM OF TEXAS
2023,332-TX DEPT OF HOUSING & COMMUNITY AFFAIRS,ANDERSON,EMPLOYEE BENEFITS,17171.19,332,TX DEPT OF HOUSING & COMMUNITY AFFAIRS
2023,401-TEXAS MILITARY DEPARTMENT,ANDERSON,EMPLOYEE BENEFITS,22830.24,401,TEXAS MILITARY DEPARTMENT
2023,405-TEXAS DEPARTMENT OF PUBLIC SAFETY,ANDERSON,EMPLOYEE BENEFITS,542677.32,405,TEXAS DEPARTMENT OF PUBLIC SAFETY
2023,407-TX COMMISSION ON LAW ENFORCEMENT,ANDERSON,EMPLOYEE BENEFITS,7846.19,407,TX COMMISSION ON LAW ENFORCEMENT
2023,101-SENATE,TRAVIS,TRAVEL,120224.31,101,SENATE
2023,454-TEXAS DEPARTMENT OF INSURANCE,ANDERSON,EMPLOYEE BENEFITS,38658.77,454,TEXAS DEPARTMENT OF INSURANCE
2023,455-RAILROAD COMMISSION OF TEXAS,ANDERSON,EMPLOYEE BENEFITS,35322.99,455,RAILROAD COMMISSION OF TEXAS
2023,479-STATE OFFICE OF RISK MANAGEMENT,ANDERSON,EMPLOYEE BENEFITS,283603.19,479,STATE OFFICE OF RISK MANAGEMENT
2023,506-UT MD ANDERSON CANCER CENTER,ANDERSON,EMPLOYEE BENEFITS,666.09,506,UT MD ANDERSON CANCER CENTER
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDERSON,EMPLOYEE BENEFITS,1164934.02,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,ANDERSON,EMPLOYEE BENEFITS,504739.49,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,ANDERSON,EMPLOYEE BENEFITS,106645.82,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,554-TEXAS ANIMAL HEALTH COMMISSION,ANDERSON,EMPLOYEE BENEFITS,13786.91,554,TEXAS ANIMAL HEALTH COMMISSION
2023,555-TEXAS A&M AGRILIFE EXTENSION SERVICE,ANDERSON,EMPLOYEE BENEFITS,33949.01,555,TEXAS A&M AGRILIFE EXTENSION SERVICE
2023,556-TEXAS A&M AGRILIFE RESEARCH,ANDERSON,EMPLOYEE BENEFITS,266.53,556,TEXAS A&M AGRILIFE RESEARCH
2023,575-TEXAS DIVISION OF EMERGENCY MANAGEMENT,ANDERSON,EMPLOYEE BENEFITS,25137.8,575,TEXAS DIVISION OF EMERGENCY MANAGEMENT
2023,576-TEXAS A&M FOREST SERVICE,ANDERSON,EMPLOYEE BENEFITS,1924.42,576,TEXAS A&M FOREST SERVICE
2023,582-TX COMMISSION ON ENVIRONMENTAL QUALITY,ANDERSON,EMPLOYEE BENEFITS,22666.58,582,TX COMMISSION ON ENVIRONMENTAL QUALITY
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDERSON,EMPLOYEE BENEFITS,409081.46,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDERSON,EMPLOYEE BENEFITS,20791677.47,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,711-TEXAS A&M UNIVERSITY,ANDERSON,EMPLOYEE BENEFITS,7606.84,711,TEXAS A&M UNIVERSITY
2023,723-UT MEDICAL BRANCH AT GALVESTON,ANDERSON,EMPLOYEE BENEFITS,15852.1,723,UT MEDICAL BRANCH AT GALVESTON
2023,731-TEXAS WOMAN'S UNIVERSITY,ANDERSON,EMPLOYEE BENEFITS,987.27,731,TEXAS WOMAN'S UNIVERSITY
2023,750-UNIVERSITY OF TEXAS AT TYLER,ANDERSON,EMPLOYEE BENEFITS,138147.97,750,UNIVERSITY OF TEXAS AT TYLER
2023,753-SAM HOUSTON STATE UNIVERSITY,ANDERSON,EMPLOYEE BENEFITS,154.88,753,SAM HOUSTON STATE UNIVERSITY
2023,754-TEXAS STATE UNIVERSITY,ANDERSON,EMPLOYEE BENEFITS,21.2,754,TEXAS STATE UNIVERSITY
2023,755-STEPHEN F AUSTIN STATE UNIVERSITY,ANDERSON,EMPLOYEE BENEFITS,8998.43,755,STEPHEN F AUSTIN STATE UNIVERSITY
2023,773-UNIVERSITY OF NORTH TEXAS-DALLAS,ANDERSON,EMPLOYEE BENEFITS,569.3,773,UNIVERSITY OF NORTH TEXAS-DALLAS
2023,785-UT HEALTH CENTER AT TYLER,ANDERSON,EMPLOYEE BENEFITS,2748.28,785,UT HEALTH CENTER AT TYLER
2023,802-PARKS & WILDLIFE DEPARTMENT,ANDERSON,EMPLOYEE BENEFITS,245484.8,802,PARKS & WILDLIFE DEPARTMENT
2023,808-TEXAS HISTORICAL COMMISSION,ANDERSON,EMPLOYEE BENEFITS,3948.55,808,TEXAS HISTORICAL COMMISSION
2023,454-TEXAS DEPARTMENT OF INSURANCE,ANDERSON,SUPPLIES AND MATERIALS,312,454,TEXAS DEPARTMENT OF INSURANCE
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,ANDERSON,SUPPLIES AND MATERIALS,1396.51,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,576-TEXAS A&M FOREST SERVICE,ANDERSON,SUPPLIES AND MATERIALS,1182.87,576,TEXAS A&M FOREST SERVICE
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDERSON,SUPPLIES AND MATERIALS,961.23,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDERSON,SUPPLIES AND MATERIALS,769319.45,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,802-PARKS & WILDLIFE DEPARTMENT,ANDERSON,SUPPLIES AND MATERIALS,38268.5,802,PARKS & WILDLIFE DEPARTMENT
2023,241-COMPTROLLER - JUDICIARY SECTION,ANDERSON,OTHER EXPENDITURES,800.63,241,COMPTROLLER - JUDICIARY SECTION
2023,302-OFFICE OF THE ATTORNEY GENERAL,ANDERSON,OTHER EXPENDITURES,56485.61,302,OFFICE OF THE ATTORNEY GENERAL
2023,304-COMPTROLLER OF PUBLIC ACCOUNTS,ANDERSON,OTHER EXPENDITURES,1750,304,COMPTROLLER OF PUBLIC ACCOUNTS
2023,315-TEXAS PREPAID HIGHER ED TUITION BOARD,ANDERSON,OTHER EXPENDITURES,49221.98,315,TEXAS PREPAID HIGHER ED TUITION BOARD
2023,320-TEXAS WORKFORCE COMMISSION,ANDERSON,OTHER EXPENDITURES,82.82,320,TEXAS WORKFORCE COMMISSION
2023,454-TEXAS DEPARTMENT OF INSURANCE,ANDERSON,OTHER EXPENDITURES,7,454,TEXAS DEPARTMENT OF INSURANCE
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDERSON,OTHER EXPENDITURES,-9772.19,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,575-TEXAS DIVISION OF EMERGENCY MANAGEMENT,ANDERSON,OTHER EXPENDITURES,300,575,TEXAS DIVISION OF EMERGENCY MANAGEMENT
2023,576-TEXAS A&M FOREST SERVICE,ANDERSON,OTHER EXPENDITURES,6557.79,576,TEXAS A&M FOREST SERVICE
2023,582-TX COMMISSION ON ENVIRONMENTAL QUALITY,ANDERSON,OTHER EXPENDITURES,155613,582,TX COMMISSION ON ENVIRONMENTAL QUALITY
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDERSON,OTHER EXPENDITURES,147968.73,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDERSON,OTHER EXPENDITURES,66183.36,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,731-TEXAS WOMAN'S UNIVERSITY,ANDERSON,OTHER EXPENDITURES,5000,731,TEXAS WOMAN'S UNIVERSITY
2023,750-UNIVERSITY OF TEXAS AT TYLER,ANDERSON,OTHER EXPENDITURES,1293,750,UNIVERSITY OF TEXAS AT TYLER
2023,755-STEPHEN F AUSTIN STATE UNIVERSITY,ANDERSON,OTHER EXPENDITURES,6000,755,STEPHEN F AUSTIN STATE UNIVERSITY
2023,802-PARKS & WILDLIFE DEPARTMENT,ANDERSON,OTHER EXPENDITURES,77408.71,802,PARKS & WILDLIFE DEPARTMENT
2023,902-COMPTROLLER - STATE FISCAL,ANDERSON,OTHER EXPENDITURES,371619.56,902,COMPTROLLER - STATE FISCAL
2023,300-GOVERNOR - FISCAL,ANDERSON,PUBLIC ASSISTANCE PAYMENTS,51532.95,300,GOVERNOR - FISCAL
2023,302-OFFICE OF THE ATTORNEY GENERAL,ANDERSON,PUBLIC ASSISTANCE PAYMENTS,198186.8,302,OFFICE OF THE ATTORNEY GENERAL
2023,307-SECRETARY OF STATE,ANDERSON,PUBLIC ASSISTANCE PAYMENTS,-8730.82,307,SECRETARY OF STATE
2023,320-TEXAS WORKFORCE COMMISSION,ANDERSON,PUBLIC ASSISTANCE PAYMENTS,1617920.4,320,TEXAS WORKFORCE COMMISSION
2023,323-TEACHER RETIREMENT SYSTEM OF TEXAS,ANDERSON,PUBLIC ASSISTANCE PAYMENTS,930491.4,323,TEACHER RETIREMENT SYSTEM OF TEXAS
2023,327-EMPLOYEES RETIREMENT SYSTEM OF TEXAS,ANDERSON,PUBLIC ASSISTANCE PAYMENTS,1629302.37,327,EMPLOYEES RETIREMENT SYSTEM OF TEXAS
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDERSON,PUBLIC ASSISTANCE PAYMENTS,7840404.6,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,ANDERSON,PUBLIC ASSISTANCE PAYMENTS,960993.6,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,ANDERSON,PUBLIC ASSISTANCE PAYMENTS,20877.64,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,551-DEPARTMENT OF AGRICULTURE,ANDERSON,PUBLIC ASSISTANCE PAYMENTS,4134745.99,551,DEPARTMENT OF AGRICULTURE
2023,592-STATE SOIL AND WATER CONSERVATION BOARD,ANDERSON,PUBLIC ASSISTANCE PAYMENTS,18750,592,STATE SOIL AND WATER CONSERVATION BOARD
2023,738-UNIVERSITY OF TEXAS AT DALLAS,ANDERSON,PUBLIC ASSISTANCE PAYMENTS,14137,738,UNIVERSITY OF TEXAS AT DALLAS
2023,802-PARKS & WILDLIFE DEPARTMENT,ANDERSON,PUBLIC ASSISTANCE PAYMENTS,9102.19,802,PARKS & WILDLIFE DEPARTMENT
2023,813-TEXAS COMMISSION ON THE ARTS,ANDERSON,PUBLIC ASSISTANCE PAYMENTS,3500,813,TEXAS COMMISSION ON THE ARTS
2023,212-OFFICE OF COURT ADMINISTRATION,ANDERSON,INTERGOVERNMENTAL PAYMENTS,54324,212,OFFICE OF COURT ADMINISTRATION
2023,241-COMPTROLLER - JUDICIARY SECTION,ANDERSON,INTERGOVERNMENTAL PAYMENTS,181278,241,COMPTROLLER - JUDICIARY SECTION
2023,300-GOVERNOR - FISCAL,ANDERSON,INTERGOVERNMENTAL PAYMENTS,200986.85,300,GOVERNOR - FISCAL
2023,302-OFFICE OF THE ATTORNEY GENERAL,ANDERSON,INTERGOVERNMENTAL PAYMENTS,15446.06,302,OFFICE OF THE ATTORNEY GENERAL
2023,307-SECRETARY OF STATE,ANDERSON,INTERGOVERNMENTAL PAYMENTS,8378.3,307,SECRETARY OF STATE
2023,320-TEXAS WORKFORCE COMMISSION,ANDERSON,INTERGOVERNMENTAL PAYMENTS,124984.72,320,TEXAS WORKFORCE COMMISSION
2023,551-DEPARTMENT OF AGRICULTURE,ANDERSON,INTERGOVERNMENTAL PAYMENTS,339314.82,551,DEPARTMENT OF AGRICULTURE
2023,575-TEXAS DIVISION OF EMERGENCY MANAGEMENT,ANDERSON,INTERGOVERNMENTAL PAYMENTS,2478168.67,575,TEXAS DIVISION OF EMERGENCY MANAGEMENT
2023,576-TEXAS A&M FOREST SERVICE,ANDERSON,INTERGOVERNMENTAL PAYMENTS,80764.39,576,TEXAS A&M FOREST SERVICE
2023,592-STATE SOIL AND WATER CONSERVATION BOARD,ANDERSON,INTERGOVERNMENTAL PAYMENTS,417312.42,592,STATE SOIL AND WATER CONSERVATION BOARD
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDERSON,INTERGOVERNMENTAL PAYMENTS,11459.23,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,644-TEXAS JUVENILE JUSTICE DEPARTMENT,ANDERSON,INTERGOVERNMENTAL PAYMENTS,417369.87,644,TEXAS JUVENILE JUSTICE DEPARTMENT
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDERSON,INTERGOVERNMENTAL PAYMENTS,502199,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,701-TEXAS EDUCATION AGENCY,ANDERSON,INTERGOVERNMENTAL PAYMENTS,82471841.9,701,TEXAS EDUCATION AGENCY
2023,902-COMPTROLLER - STATE FISCAL,ANDERSON,INTERGOVERNMENTAL PAYMENTS,380769.19,902,COMPTROLLER - STATE FISCAL
2023,362-TEXAS LOTTERY COMMISSION,ANDERSON,LOTTERY WINNINGS PAID,464027,362,TEXAS LOTTERY COMMISSION
2023,102-HOUSE OF REPRESENTATIVES,ANDERSON,TRAVEL,49513.88,102,HOUSE OF REPRESENTATIVES
2023,241-COMPTROLLER - JUDICIARY SECTION,ANDERSON,TRAVEL,22173.22,241,COMPTROLLER - JUDICIARY SECTION
2023,302-OFFICE OF THE ATTORNEY GENERAL,ANDERSON,TRAVEL,12572.27,302,OFFICE OF THE ATTORNEY GENERAL
2023,332-TX DEPT OF HOUSING & COMMUNITY AFFAIRS,ANDERSON,TRAVEL,3196.45,332,TX DEPT OF HOUSING & COMMUNITY AFFAIRS
2023,401-TEXAS MILITARY DEPARTMENT,ANDERSON,TRAVEL,661.35,401,TEXAS MILITARY DEPARTMENT
2023,405-TEXAS DEPARTMENT OF PUBLIC SAFETY,ANDERSON,TRAVEL,99629.14,405,TEXAS DEPARTMENT OF PUBLIC SAFETY
2023,407-TX COMMISSION ON LAW ENFORCEMENT,ANDERSON,TRAVEL,2724.66,407,TX COMMISSION ON LAW ENFORCEMENT
2023,454-TEXAS DEPARTMENT OF INSURANCE,ANDERSON,TRAVEL,8901.08,454,TEXAS DEPARTMENT OF INSURANCE
2023,455-RAILROAD COMMISSION OF TEXAS,ANDERSON,TRAVEL,4113.68,455,RAILROAD COMMISSION OF TEXAS
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDERSON,TRAVEL,53815.42,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,ANDERSON,TRAVEL,212177.53,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,ANDERSON,TRAVEL,20144.18,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,554-TEXAS ANIMAL HEALTH COMMISSION,ANDERSON,TRAVEL,1560,554,TEXAS ANIMAL HEALTH COMMISSION
2023,575-TEXAS DIVISION OF EMERGENCY MANAGEMENT,ANDERSON,TRAVEL,12211.77,575,TEXAS DIVISION OF EMERGENCY MANAGEMENT
2023,576-TEXAS A&M FOREST SERVICE,ANDERSON,TRAVEL,11309.19,576,TEXAS A&M FOREST SERVICE
2023,582-TX COMMISSION ON ENVIRONMENTAL QUALITY,ANDERSON,TRAVEL,3111.68,582,TX COMMISSION ON ENVIRONMENTAL QUALITY
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDERSON,TRAVEL,9009.09,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDERSON,TRAVEL,480703.86,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,750-UNIVERSITY OF TEXAS AT TYLER,ANDERSON,TRAVEL,10547.72,750,UNIVERSITY OF TEXAS AT TYLER
2023,802-PARKS & WILDLIFE DEPARTMENT,ANDERSON,TRAVEL,13421.53,802,PARKS & WILDLIFE DEPARTMENT
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDERSON,PROFESSIONAL SERVICE AND FEES,4430962.67,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDERSON,PROFESSIONAL SERVICE AND FEES,2986.87,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,755-STEPHEN F AUSTIN STATE UNIVERSITY,ANDERSON,PROFESSIONAL SERVICE AND FEES,500,755,STEPHEN F AUSTIN STATE UNIVERSITY
2023,320-TEXAS WORKFORCE COMMISSION,ANDERSON,PAYMENT OF INTEREST - DEBT SERVICE,0.25,320,TEXAS WORKFORCE COMMISSION
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDERSON,HIGHWAY CONSTRUCTION-CAPITAL OUTLAY,580862.81,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,405-TEXAS DEPARTMENT OF PUBLIC SAFETY,ANDERSON,REPAIRS AND MAINTENANCE,9715.01,405,TEXAS DEPARTMENT OF PUBLIC SAFETY
2023,454-TEXAS DEPARTMENT OF INSURANCE,ANDERSON,REPAIRS AND MAINTENANCE,1844.68,454,TEXAS DEPARTMENT OF INSURANCE
2023,576-TEXAS A&M FOREST SERVICE,ANDERSON,REPAIRS AND MAINTENANCE,1035.7,576,TEXAS A&M FOREST SERVICE
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDERSON,REPAIRS AND MAINTENANCE,78146.23,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDERSON,REPAIRS AND MAINTENANCE,722475.86,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,802-PARKS & WILDLIFE DEPARTMENT,ANDERSON,REPAIRS AND MAINTENANCE,75089.49,802,PARKS & WILDLIFE DEPARTMENT
2023,401-TEXAS MILITARY DEPARTMENT,ANDERSON,COMMUNICATIONS AND UTILITIES,3483.35,401,TEXAS MILITARY DEPARTMENT
2023,405-TEXAS DEPARTMENT OF PUBLIC SAFETY,ANDERSON,COMMUNICATIONS AND UTILITIES,950.36,405,TEXAS DEPARTMENT OF PUBLIC SAFETY
2023,576-TEXAS A&M FOREST SERVICE,ANDERSON,COMMUNICATIONS AND UTILITIES,13442.52,576,TEXAS A&M FOREST SERVICE
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDERSON,COMMUNICATIONS AND UTILITIES,3158.48,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDERSON,COMMUNICATIONS AND UTILITIES,359.9,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,802-PARKS & WILDLIFE DEPARTMENT,ANDERSON,COMMUNICATIONS AND UTILITIES,5513.83,802,PARKS & WILDLIFE DEPARTMENT
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDERSON,RENTALS AND LEASES,671.32,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDERSON,RENTALS AND LEASES,3230.8,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDERSON,RENTALS AND LEASES,409130.3,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,802-PARKS & WILDLIFE DEPARTMENT,ANDERSON,RENTALS AND LEASES,5801.37,802,PARKS & WILDLIFE DEPARTMENT
2023,302-OFFICE OF THE ATTORNEY GENERAL,ANDERSON,CLAIMS AND JUDGMENTS,31789.56,302,OFFICE OF THE ATTORNEY GENERAL
2023,320-TEXAS WORKFORCE COMMISSION,ANDERSON,CLAIMS AND JUDGMENTS,822,320,TEXAS WORKFORCE COMMISSION
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDERSON,CLAIMS AND JUDGMENTS,33719.2,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,902-COMPTROLLER - STATE FISCAL,ANDERSON,CLAIMS AND JUDGMENTS,37704.1,902,COMPTROLLER - STATE FISCAL
2023,305-GENERAL LAND OFFICE,ANDERSON,COST OF GOODS SOLD,34465,305,GENERAL LAND OFFICE
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDERSON,COST OF GOODS SOLD,17941.54,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDERSON,COST OF GOODS SOLD,282511.74,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,802-PARKS & WILDLIFE DEPARTMENT,ANDERSON,COST OF GOODS SOLD,3477,802,PARKS & WILDLIFE DEPARTMENT
2023,241-COMPTROLLER - JUDICIARY SECTION,ANDREWS,SALARIES AND WAGES,288166.53,241,COMPTROLLER - JUDICIARY SECTION
2023,304-COMPTROLLER OF PUBLIC ACCOUNTS,ANDREWS,SALARIES AND WAGES,76069.13,304,COMPTROLLER OF PUBLIC ACCOUNTS
2023,320-TEXAS WORKFORCE COMMISSION,ANDREWS,SALARIES AND WAGES,70903.3,320,TEXAS WORKFORCE COMMISSION
2023,401-TEXAS MILITARY DEPARTMENT,ANDREWS,SALARIES AND WAGES,114563,401,TEXAS MILITARY DEPARTMENT
2023,405-TEXAS DEPARTMENT OF PUBLIC SAFETY,ANDREWS,SALARIES AND WAGES,637796.43,405,TEXAS DEPARTMENT OF PUBLIC SAFETY
